Name,Age,Division,Equipment,Tested,BodyweightLBS,WeightClassLBS, Squat1LBS, Squat2LBS, Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Best3DeadliftLBS,TotalLBS,State,Event
Francell Menendez,19,Teenage (18-19),Multiply,Yes,110.6,114,210,225,-235,225,110,120,-130,120,245,260,275,275,620,TX,SBD
Monika Morales,17,Teenage (16-17),Multiply,Yes,266.3,SHW,-445,445,475,475,235,275,-290,275,310,335,-350,335,1085,TX,SBD
Jackie Pena,16,Teenage (16-17),Multiply,Yes,114.6,114,205,-220,-230,205,95,100,-115,100,200,215,225,225,530,TX,SBD
Itzel Torres,28,Open,Wraps,Yes,120.8,123,210,220,-230,220,100,110,120,120,260,280,300,300,640,TX,SBD
Vanessa De Avalos,36,Open,Wraps,Yes,176.4,181,305,315,330,330,100,115,140,140,225,255,280,280,750,TX ,SBD
Deborah Rabel,37,Open,Wraps,Yes,218.1,220,265,285,310,310,145,155,-170,155,285,310,325,325,790,TX,SBD
Deborah Rabel,37,Submaster (33-39),Wraps,Yes,218.1,220,265,285,310,310,145,155,-170,155,285,310,325,325,790,TX,SBD
Marcos Garza,18,Teenage (18-19),Multiply,Yes,234.7,242,585,610,-625,610,470,-505,505,505,565,600,620,620,1735,TX,SBD
David Decanini,11,Youth (10-11),Wraps,Yes,179.2,181,125,140,-180,140,60,75,-85,75,150,175,185,185,400,TX,SBD
Esther Richardson,32,Open,Wraps,Yes,331.9,SHW,,,,,,,,,315,345,-365,345,345,TX,D
Victor Santa Ana,24,Police & Fire,Wraps,Yes,154.7,165,,,,,,,,,315,350,375,375,375,TX,D
Randy Abendroth,62,Master (60-64),Wraps,Yes,278.2,308,,,,,,,,,520,550,565,565,565,TX,D
Cesar Solis,14,Teenage (14-15),Wraps,Yes,145,148,,,,,,,,,-210,215,-240,215,215,TX,D
