Place,Name,State,Country,Division,BodyweightKg,WeightClassKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,BirthDate,Sex,Equipment
1,Louise Taylor,YNE,England,FR-SJr,65,69,2003,,,,,-60,62.5,-67.5,62.5,,,,,62.5,B,,F,Raw
1,Gracie Besant,EM,England,FR-SJr,80.7,84,2007,,,,,42.5,50,55,55,,,,,55,B,,F,Raw
1,Jessica Jeramaes,SW,England,FR-Jr,65.1,69,2001,,,,,72.5,77.5,-80,77.5,,,,,77.5,B,,F,Raw
2,Chynnah Lockheart,EM,England,FR-Jr,66.2,69,2003,,,,,67.5,72.5,-75,72.5,,,,,72.5,B,,F,Raw
1,Melina Irawo,YNE,England,FR-Jr,81.1,84,2000,,,,,100,105,110,110,,,,,110,B,,F,Raw
1,Katie Roberts,,Wales,FR-O,68.5,69,1989,,,,,105,-108,-108,105,,,,,105,B,,F,Raw
2,Moa Wikner,GL,England,FR-O,67.9,69,1995,,,,,97.5,-102.5,102.5,102.5,,,,,102.5,B,,F,Raw
3,Elspeth McLeod,YNE,England,FR-O,64.2,69,1995,,,,,95,-100,100,100,,,,,100,B,,F,Raw
4,Karenjeet Kaur Bains,WM,England,FR-O,67.1,69,1996,,,,,92.5,-97.5,97.5,97.5,,,,,97.5,B,,F,Raw
5,Karen Lai,GL,England,FR-O,68.5,69,1994,,,,,92.5,-97.5,97.5,97.5,,,,,97.5,B,,F,Raw
6,Olivia Price,SW,England,FR-O,66.9,69,1996,,,,,92.5,-97.5,-97.5,92.5,,,,,92.5,B,,F,Raw
7,Al Mansell-Rowe,SE,England,FR-O,65.1,69,1998,,,,,67.5,72.5,-75,72.5,,,,,72.5,B,,F,Raw
8,Jade Town,SE,England,FR-O,68,69,1996,,,,,65,72.5,-77.5,72.5,,,,,72.5,B,,F,Raw
9,Linda Viale,GL,England,FR-O,67.2,69,1993,,,,,52.5,57.5,62.5,62.5,,,,,62.5,B,,F,Raw
1,Temitope Nuga,GL,England,FR-O,82.5,84,1985,,,,,100,105,110,110,,,,,110,B,,F,Raw
2,Denise Vieweg,SE,England,FR-O,81.5,84,1989,,,,,87.5,92.5,97.5,97.5,,,,,97.5,B,,F,Raw
1,Victoria Cavalier-Hirth,SM,England,FR-O,127,84+,1991,,,,,120,123,126,126,,,,,126,B,,F,Raw
2,Rebecca Coggle,SE,England,FR-O,133.1,84+,1983,,,,,115,120,125,125,,,,,125,B,,F,Raw
3,Charlie Chester,SW,England,FR-O,114.4,84+,1996,,,,,90,97.5,100,100,,,,,100,B,,F,Raw
1,Galit Goldschmid,SM,England,FR-M1,65.9,69,1977,,,,,82.5,87.5,-91,87.5,,,,,87.5,B,,F,Raw
1,Lucy Hyde,SE,England,FR-M1,82.9,84,1979,,,,,80,85,-87.5,85,,,,,85,B,,F,Raw
1,Jacqueline Gough,NM,England,FR-M1,155.8,84+,1977,,,,,110,115,121.5,121.5,,,,,121.5,B,,F,Raw
1,Lincoln Rose,SE,England,FR-M2,67.8,69,1970,,,,,-82.5,82.5,-86,82.5,,,,,82.5,B,,F,Raw
2,Rachel Spragg,SE,England,FR-M2,67.1,69,1970,,,,,57.5,62.5,-65,62.5,,,,,62.5,B,,F,Raw
1,Elaine Jackson,GL,England,FR-M2,114.1,84+,1969,,,,,67.5,72.5,77.5,77.5,,,,,77.5,B,,F,Raw
2,Helen Toms,SW,England,FR-M2,101.5,84+,1964,,,,,60,65,-70,65,,,,,65,B,,F,Raw
1,Greg Pearson,YNE,England,MR-SJr,62.6,66,2007,,,,,100.5,105,107.5,107.5,,,,,107.5,B,,M,Raw
2,Billy Testa-O'Neill,NW,England,MR-SJr,61.3,66,2004,,,,,87.5,95,-100,95,,,,,95,B,,M,Raw
3,Charlie Bentley,SE,England,MR-SJr,64.7,66,2005,,,,,87.5,-95,-95,87.5,,,,,87.5,B,,M,Raw
1,Max Wadsworth,SE,England,MR-SJr,81.7,83,2004,,,,,132.5,135,147.5,147.5,,,,,147.5,B,,M,Raw
1,Benedict Grant,SW,England,MR-Jr,58.7,59,2001,,,,,112.5,117.5,122.5,122.5,,,,,122.5,B,,M,Raw
1,Edward Kimber,SW,England,MR-Jr,64.7,66,2003,,,,,132.5,137.5,140,140,,,,,140,B,,M,Raw
1,Thomas Field,SM,England,MR-Jr,79.3,83,2001,,,,,160,-170,-170,160,,,,,160,B,,M,Raw
2,Max Mansell-Rowe,SE,England,MR-Jr,82.7,83,2000,,,,,140,145,150,150,,,,,150,B,,M,Raw
3,Safwan Waheed,SM,England,MR-Jr,80.4,83,1999,,,,,115,-122.5,125,125,,,,,125,B,,M,Raw
1,Adam Alderman,EM,England,MR-O,55,59,1983,,,,,135,-140,-140,135,,,,,135,B,,M,Raw
2,Ben Hampson,EM,England,MR-O,58.9,59,1989,,,,,117.5,122.5,125,125,,,,,125,B,,M,Raw
3,Daniel McGauley,EM,England,MR-O,57,59,1990,,,,,75,80,85,85,,,,,85,B,,M,Raw
1,Daniel Thomas,GL,England,MR-O,65.9,66,1985,,,,,135,142.5,147.5,147.5,,,,,147.5,B,,M,Raw
2,Will Horsley,SW,England,MR-O,65.6,66,1998,,,,,110,115,120,120,,,,,120,B,,M,Raw
1,Harrison Sparks,EM,England,MR-O,81.8,83,1998,,,,,180,187.5,192.5,192.5,,,,,192.5,B,,M,Raw
2,Anujan Srikantha,GL,England,MR-O,82.3,83,1996,,,,,175,185,190,190,,,,,190,B,,M,Raw
3,Ivan Protsyuk,GL,England,MR-O,81.9,83,1992,,,,,155,160,-162.5,160,,,,,160,B,,M,Raw
4,Jaideep Wasu,GL,England,MR-O,82,83,1994,,,,,135,142.5,147.5,147.5,,,,,147.5,B,,M,Raw
1,Simon Voakes,SM,England,MR-M1,65.8,66,1981,,,,,107.5,112.5,115,115,,,,,115,B,,M,Raw
1,Barrie Taverner,EM,England,MR-M1,82.4,83,1974,,,,,150,160,-171,160,,,,,160,B,,M,Raw
2,Andy Cudd,GL,England,MR-M1,81.9,83,1978,,,,,120,127.5,132.5,132.5,,,,,132.5,B,,M,Raw
3,Ben Richens,SW,England,MR-M1,81,83,1981,,,,,122.5,125,-127.5,125,,,,,125,B,,M,Raw
1,Stuart Peskett,SE,England,MR-M2,81.5,83,1966,,,,,122.5,130,-135,130,,,,,130,B,,M,Raw
2,Jim Wands,,Scotland,MR-M2,82.5,83,1971,,,,,120,125,-130,125,,,,,125,B,,M,Raw
3,Nicholas Bentley,SE,England,MR-M2,80.4,83,1972,,,,,107.5,115,120,120,,,,,120,B,,M,Raw
4,David Horne,SM,England,MR-M2,81.1,83,1967,,,,,100,107.5,115,115,,,,,115,B,,M,Raw
1,Ray Jeffrey,EM,England,MR-M3,82.2,83,1960,,,,,-112.5,112.5,-117.5,112.5,,,,,112.5,B,,M,Raw
1,Anthony Richards,SE,England,MR-M4,78.8,83,1949,,,,,92.5,-97.5,-102.5,92.5,,,,,92.5,B,,M,Raw
1,Daniella-Jade Chester,SW,England,FR-SJr,60,63,2004,,,,,55,62.5,-67.5,62.5,,,,,62.5,B,,F,Raw
1,Gigi Nicolson,NM,England,FR-Jr,48.2,52,1999,,,,,52.5,57.5,60,60,,,,,60,B,,F,Raw
1,Caitlin Baxter,YNE,England,FR-Jr,55.4,57,2001,,,,,92.5,96,-97.5,96,,,,,96,B,,F,Raw
2,Heidi Chapman,SE,England,FR-Jr,54.8,57,1999,,,,,65,70,75,75,,,,,75,B,,F,Raw
1,Chanice Sumners,WM,England,FR-Jr,61.9,63,1999,,,,,70,72.5,-75,72.5,,,,,72.5,B,,F,Raw
2,Natalie Matthews,WM,England,FR-Jr,61.6,63,2000,,,,,60,65,67.5,67.5,,,,,67.5,B,,F,Raw
3,Emily Cakebread,SE,England,FR-Jr,60.9,63,2000,,,,,65,-70,-70,65,,,,,65,B,,F,Raw
1,Odette Tobaiwa,SW,England,FR-Jr,74.4,76,1999,,,,,77.5,82.5,87.5,87.5,,,,,87.5,B,,F,Raw
2,Tabitha Panton,,Wales,FR-Jr,73,76,1999,,,,,80,-85,85,85,,,,,85,B,,F,Raw
1,Chau-Long Le,GL,England,FR-O,51.4,52,1993,,,,,-67.5,70,-72.5,70,,,,,70,B,,F,Raw
1,Sheina Kaye,NW,England,FR-O,53.8,57,1997,,,,,82.5,85,-90,85,,,,,85,B,,F,Raw
2,Kristina March,SE,England,FR-O,56.1,57,1989,,,,,72.5,80,-85,80,,,,,80,B,,F,Raw
3,Clare Dane,GL,England,FR-O,53.4,57,1987,,,,,52.5,-55,-55,52.5,,,,,52.5,B,,F,Raw
1,Melissa Hexter,GL,England,FR-O,59.6,63,1994,,,,,105,111,114,114,,,,,114,B,,F,Raw
2,Charlotte MacPherson,EM,England,FR-O,62.7,63,1995,,,,,95,100,-105,100,,,,,100,B,,F,Raw
3,Carly McInnis,SM,England,FR-O,62,63,1998,,,,,75,-77.5,-80,75,,,,,75,B,,F,Raw
4,Rosephine Fernandes,GL,England,FR-O,62.1,63,1991,,,,,60,-65,-65,60,,,,,60,B,,F,Raw
1,Sophia Ellis,GL,England,FR-O,74.1,76,1996,,,,,105,112.5,,112.5,,,,,112.5,B,,F,Raw
2,Rachel Steedman,,Scotland,FR-O,69.3,76,1995,,,,,80,85,-90,85,,,,,85,B,,F,Raw
3,Amy Clair,EM,England,FR-O,74.9,76,1988,,,,,80,85,-90,85,,,,,85,B,,F,Raw
1,Helen Hughes,SM,England,FR-M1,54.4,57,1976,,,,,77.5,80,82.5,82.5,,,,,82.5,B,,F,Raw
2,Amber Hinchelwood,SE,England,FR-M1,55.2,57,1978,,,,,45,47.5,-50,47.5,,,,,47.5,B,,F,Raw
1,Emma Ludlow,GL,England,FR-M1,59.8,63,1980,,,,,70,75,77.5,77.5,,,,,77.5,B,,F,Raw
1,Karen McKendry,EM,England,FR-M1,76,76,1973,,,,,67.5,70,-72.5,70,,,,,70,B,,F,Raw
1,Deborah Teirnan,EM,England,FR-M2,55.9,57,1963,,,,,-62.5,62.5,-67.5,62.5,,,,,62.5,B,,F,Raw
1,Maureen Gordon,,Scotland,FR-M2,62.5,63,1964,,,,,65,67.5,70,70,,,,,70,B,,F,Raw
2,Rita Shergold,SM,England,FR-M2,59.8,63,1965,,,,,57.5,62.5,-67.5,62.5,,,,,62.5,B,,F,Raw
1,Amelia Allen,SW,England,FR-M2,74,76,1970,,,,,85,90,-95,90,,,,,90,B,,F,Raw
1,Jenny Wilde,SE,England,FR-M3,60.5,63,1962,,,,,55,57.5,-60,57.5,,,,,57.5,B,,F,Raw
1,Janice Hawes,EM,England,FR-M3,75.2,76,1957,,,,,45,50,55,55,,,,,55,B,,F,Raw
2,Julie Briggs,SE,England,FR-M3,74.9,76,1962,,,,,47.5,50,52.5,52.5,,,,,52.5,B,,F,Raw
3,Mandy Blackman,SE,England,FR-M3,75,76,1961,,,,,37.5,40,-45,40,,,,,40,B,,F,Raw
1,Judith McGauley,EM,England,FR-M4,49.9,52,1948,,,,,27.5,-30,32.5,32.5,,,,,32.5,B,,F,Raw
1,Maksym Federovskyy,SW,England,MR-SJr,69,74,,,,,,107.5,112.5,-115,112.5,,,,,112.5,B,,M,Raw
1,Oliver Phillpot,EM,England,MR-SJr,91.2,93,,,,,,122.5,130,-140,130,,,,,130,B,,M,Raw
2,Rufus Guest,SE,England,MR-SJr,92.5,93,,,,,,122.5,130,-132.5,130,,,,,130,B,,M,Raw
3,Oliver Francis,SE,England,MR-SJr,86.9,93,,,,,,105,110,117.5,117.5,,,,,117.5,B,,M,Raw
4,Nickolas Towson,SE,England,MR-SJr,86.5,93,,,,,,110,-120,-120,110,,,,,110,B,,M,Raw
1,James Anar,,Scotland,MR-Jr,73.3,74,,,,,,135,-140,142.5,142.5,,,,,142.5,B,,M,Raw
2,Tyler Thomson,SW,England,MR-Jr,73.4,74,,,,,,125,130,137.5,137.5,,,,,137.5,B,,M,Raw
3,Charlie Thomas,SE,England,MR-Jr,73.3,74,,,,,,110,115,-120,115,,,,,115,B,,M,Raw
4,Lewis Lovegrove,SE,England,MR-Jr,73,74,,,,,,110,-120,-120,110,,,,,110,B,,M,Raw
1,Jack Taylor,NM,England,MR-Jr,91.5,93,,,,,,195,205,213.5,213.5,,,,,213.5,B,,M,Raw
2,Thomas Evans,,Wales,MR-Jr,91.4,93,,,,,,180,185,190,190,,,,,190,B,,M,Raw
1,Andrew Ward,WM,England,MR-O,73.7,74,,,,,,155,165,-175,165,,,,,165,B,,M,Raw
2,Lindi Ceribashi,NW,England,MR-O,73.5,74,,,,,,125,135,140,140,,,,,140,B,,M,Raw
