Place,CyrillicName,BirthYear,WeightClassKg,Event,Equipment,Sex,Division,Divison,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg
1,Владимир Петраков,1972,52,SBD,Single-ply,M,Open,Open,51.1,147.5,97.5,195,430
2,Сергей Дыгал,1973,52,SBD,Single-ply,M,Open,Open,50.85,97.5,67.5,147.5,312.5
3,Сергей Кравец,1975,52,SBD,Single-ply,M,Open,Open,52,107.5,70,110,287.5
1,Александр Брылов,1971,56,SBD,Single-ply,M,Open,Open,54.25,127.5,90,172.5,390
2,Вячеслав Садовой,1971,56,SBD,Single-ply,M,Open,Open,54.6,120,87.5,162.5,370
3,Евгений Путивка,1973,56,SBD,Single-ply,M,Open,Open,54.25,100,70,122.5,292.5
1,Сергей Лемешевский,1972,60,SBD,Single-ply,M,Open,Open,60,165,105,212.5,482.5
2,Александр Примаков,1958,60,SBD,Single-ply,M,Open,Open,59.3,165,130,180,475
3,Николай Висицкий,1972,60,SBD,Single-ply,M,Open,Open,59.85,142.5,110,195,447.5
4,Евгений Баранов,1970,60,SBD,Single-ply,M,Open,Open,60,140,90,197.5,427.5
5,Юрий Кравец,1970,60,SBD,Single-ply,M,Open,Open,59.15,137.5,105,170,412.5
6,Александр Задворный,1973,60,SBD,Single-ply,M,Open,Open,59.55,120,82.5,132.5,335
DQ,Константин Деменко,1971,60,SBD,Single-ply,M,Open,Open,60,125,,,
DQ,Игорь Карпенко,1971,60,SBD,Single-ply,M,Open,Open,59.7,120,,,
1,Валерий Кравченко,1965,67.5,SBD,Single-ply,M,Open,Open,67.2,200,160,215,575
2,Юрий Пигарев,1962,67.5,SBD,Single-ply,M,Open,Open,67.2,162.5,135,202.5,500
3,Сергей Докторович,1972,67.5,SBD,Single-ply,M,Open,Open,67.2,160,122.5,190,472.5
4,Евгений Лобунский,1967,67.5,SBD,Single-ply,M,Open,Open,66.8,155,117.5,195,467.5
5,Юрий Терещенко,1972,67.5,SBD,Single-ply,M,Open,Open,67.2,105,105,140,350
DQ,Сергей Бизнев,1969,67.5,SBD,Single-ply,M,Open,Open,66.2,,,,
DQ,Павел Солодовник,1972,67.5,SBD,Single-ply,M,Open,Open,66.8,,,,
1,Владимир Махнюк,1958,75,SBD,Single-ply,M,Open,Open,75,225,142.5,237.5,605
2,Александр Ступак,1956,75,SBD,Single-ply,M,Open,Open,74.7,207.5,160,235,602.5
3,Александр Матушенко,1965,75,SBD,Single-ply,M,Open,Open,74.2,175,122.5,242.5,540
4,Сергей Большун,1971,75,SBD,Single-ply,M,Open,Open,72.3,180,102.5,200,482.5
5,Виктор Шихатов,1971,75,SBD,Single-ply,M,Open,Open,71,110,102.5,155,367.5
DQ,Михаил Дудник,1964,75,SBD,Single-ply,M,Open,Open,74.7,205,135,,
DQ,Николай Селеев,1970,75,SBD,Single-ply,M,Open,Open,73.8,155,,,
DQ,Николай Голубятников,1972,75,SBD,Single-ply,M,Open,Open,74.5,,,,
1,Сергей Аверьянов,1960,82.5,SBD,Single-ply,M,Open,Open,82.2,260,150,265,675
2,Александр Котенджи,1964,82.5,SBD,Single-ply,M,Open,Open,82.4,250,135,260,645
3,Владимир Ухач,1960,82.5,SBD,Single-ply,M,Open,Open,81.7,232.5,175,227.5,635
4,Анатолий Калина,1948,82.5,SBD,Single-ply,M,Open,Open,82.4,235,140,250,625
5,Андрей Ященко,1965,82.5,SBD,Single-ply,M,Open,Open,77.6,190,150,225,565
6,Владимир Лещенко,1946,82.5,SBD,Single-ply,M,Open,Open,81.5,215,135,200,550
7,Андрей Панарин,1971,82.5,SBD,Single-ply,M,Open,Open,82.3,210,125,180,515
8,Владимир Мищенко,1964,82.5,SBD,Single-ply,M,Open,Open,79.5,160,130,200,490
9,Александр Момот,1972,82.5,SBD,Single-ply,M,Open,Open,75.1,140,112.5,200,452.5
DQ,Василий Алоев,1956,82.5,SBD,Single-ply,M,Open,Open,82.2,230,,,
DQ,Валерий Дьяченко,1971,82.5,SBD,Single-ply,M,Open,Open,80.7,,,,
DQ,Андрей Москаленко,1969,82.5,SBD,Single-ply,M,Open,Open,79.2,,,,
DQ,Лев Альбин,1960,82.5,SBD,Single-ply,M,Open,Open,81.9,,,,
DQ,Юрий Кордун,1971,82.5,SBD,Single-ply,M,Open,Open,81,,,,
DQ,Андрей Безгубенко,1964,82.5,SBD,Single-ply,M,Open,Open,81.5,,,,
1,Геннадий Воробьев,1961,90,SBD,Single-ply,M,Open,Open,89.3,270,185,325,780
2,Анатолий Емельянович,1960,90,SBD,Single-ply,M,Open,Open,90,280,175,290,745
3,Эдуард Плахотников,1967,90,SBD,Single-ply,M,Open,Open,90,230,172.5,265,667.5
4,Николай Сафошин,1966,90,SBD,Single-ply,M,Open,Open,90,240,165,260,665
5,Вячеслав Ориховский,1961,90,SBD,Single-ply,M,Open,Open,89.95,220,165,260,650
6,Юрий Карпинский,1963,90,SBD,Single-ply,M,Open,Open,89.5,230,157.5,260,647.5
7,Павел Равлюк,1962,90,SBD,Single-ply,M,Open,Open,84,220,175,250,645
8,Олег Королев,1971,90,SBD,Single-ply,M,Open,Open,87.9,230,130,225,585
9,Алексей Иванов,1949,90,SBD,Single-ply,M,Open,Open,85.5,205,147.5,210,562.5
10,Руслан Дубовой,1963,90,SBD,Single-ply,M,Open,Open,89.7,180,125,220,525
DQ,Сергей Иванов,1956,90,SBD,Single-ply,M,Open,Open,89.9,237.5,,,
DQ,Виктор Ганчур,1958,90,SBD,Single-ply,M,Open,Open,87.8,,,,
DQ,Сергей Колесник,1963,90,SBD,Single-ply,M,Open,Open,90,,,,
1,Владимир Иваненко,1955,100,SBD,Single-ply,M,Open,Open,97.4,340,212.5,310,862.5
2,Анатолий Грищенков,1960,100,SBD,Single-ply,M,Open,Open,100,215,185,280,680
3,Владимир Лебедев,1950,100,SBD,Single-ply,M,Open,Open,95.6,250,162.5,245,657.5
4,Геннадий Сологуб,1963,100,SBD,Single-ply,M,Open,Open,91.6,225,160,260,645
5,Александр Ходов,1967,100,SBD,Single-ply,M,Open,Open,96.6,210,140,250,600
DQ,Юрий Савенко,1960,100,SBD,Single-ply,M,Open,Open,98.6,,,,
DQ,Борис Жеребцов,1938,100,SBD,Single-ply,M,Open,Open,95.8,242.5,,,
DQ,Виктор Шутков,1951,100,SBD,Single-ply,M,Open,Open,94.8,,,,
1,Олег Кравченко,1965,110,SBD,Single-ply,M,Open,Open,109.6,312.5,187.5,352.5,852.5
2,Виктор Налейкин,1953,110,SBD,Single-ply,M,Open,Open,110,315,190,340,845
DQ,Павел Целюрик,1963,110,SBD,Single-ply,M,Open,Open,102.7,,,,
DQ,Валерий Шарий,1946,110,SBD,Single-ply,M,Open,Open,102.4,,,,
1,Константин Титов,1972,125,SBD,Single-ply,M,Open,Open,116.9,200,120,232.5,552.5
DQ,Юрий Спинов,1962,125,SBD,Single-ply,M,Open,Open,110.8,,,,
DQ,Владимир Чугунов,1958,125,SBD,Single-ply,M,Open,Open,111.5,,,,
DQ,Сергей Первак,1958,125,SBD,Single-ply,M,Open,Open,121.7,240,,,
