Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Division,Equipment,WeightClassKg
1,Vladimir Petrakov,Владимир Петраков,1972,51.7,140,92.5,198,430,M,SBD,Open,Single-ply,52
2,Aleksandr Degovets,Александр Деговец,1966,51.2,145,90,160,395,M,SBD,Open,Single-ply,52
3,Sergey Dygal,Сергей Дыгал,1973,51.2,97.5,67.5,155,320,M,SBD,Open,Single-ply,52
1,Sergey Vatyuk,Сергей Ватюк,1962,56,160,120,195,475,M,SBD,Open,Single-ply,56
2,Andrey Koval,Андрей Коваль,1970,55.9,147.5,100,175,407.5,M,SBD,Open,Single-ply,56
3,Vitaliy Teteutsa,Виталий Тетеуца,1967,54.3,142.5,105,152.5,400,M,SBD,Open,Single-ply,56
4,Evgeniy Putivka,Евгений Путивка,1973,55.1,105,67.5,142.5,315,M,SBD,Open,Single-ply,56
DQ,Sergey Kravets,Сергей Кравец,1975,55.3,122.5,,,,M,SBD,Open,Single-ply,56
DQ,Oleg Shuster,Олег Шустер,1972,55.7,125,,,,M,SBD,Open,Single-ply,56
1,Aleksandr Primakov,Александр Примаков,1958,59.6,180,137.5,187.5,505,M,SBD,Open,Single-ply,60
2,Vitaliy Arsenev,Виталий Арсеньев,1963,59,150,105,180,435,M,SBD,Open,Single-ply,60
3,Yuriy Kravets,Юрий Кравец,1971,58.8,145,105,180,430,M,SBD,Open,Single-ply,60
4,Igor Yasenetskiy,Игорь Ясенецкий,1966,58.8,160,80,185,425,M,SBD,Open,Single-ply,60
5,Iosif Sigitiy,Иосиф Сигитий,1973,59.6,122.5,95,180,397.5,M,SBD,Open,Single-ply,60
6,Andrey Domoratskiy,Андрей Доморацкий,1971,57.8,132.5,85,140,357.5,M,SBD,Open,Single-ply,60
DQ,Evgeniy Matviychuk,Евгений Матвийчук,1958,60,140,95,,,M,SBD,Open,Single-ply,60
1,Yuriy Vernichenko,Юрий Верниченко,1962,67.2,220,140,215,575,M,SBD,Open,Single-ply,67.5
2,Roman Zuzuk,Роман Зузук,1971,67.2,200,135,235,570,M,SBD,Open,Single-ply,67.5
3,Valeriy Kravchenko,Валерий Кравченко,1965,67.3,205,155,210,570,M,SBD,Open,Single-ply,67.5
4,Aleksandr Anoshchenko,Александр Анощенко,1965,67.15,205,120,232.5,557.5,M,SBD,Open,Single-ply,67.5
5,Aleksandr Chernyshov,Александр Чернышов,1966,67.45,220,132.5,205,557.5,M,SBD,Open,Single-ply,67.5
6,Igor Savyak,Игорь Савяк,1958,67.3,160,125,225,510,M,SBD,Open,Single-ply,67.5
7,Anatoliy Parkhomenko,Анатолий Пархоменко,1941,67.2,165,132.5,185,482.5,M,SBD,Open,Single-ply,67.5
8,Evgeniy Lobunskiy,Евгений Лобунский,1967,67.15,155,120,205,480,M,SBD,Open,Single-ply,67.5
9,Sergey Lemeshevskiy,Сергей Лемешевский,1972,64.85,160,100,210,475,M,SBD,Open,Single-ply,67.5
10,Sergey Khrun,Сергей Хрунь,1967,66.3,167.5,102.5,180,450,M,SBD,Open,Single-ply,67.5
11,Igor Panasenko,Игорь Панасенко,1966,66.7,147.5,100,172.5,420,M,SBD,Open,Single-ply,67.5
12,Ivan Meygesh,Иван Мейгеш,1974,65.6,130,105,180,415,M,SBD,Open,Single-ply,67.5
13,Igor Vasilenko,Игорь Василенко,1963,66.8,150,105,170,410,M,SBD,Open,Single-ply,67.5
DQ,Nikolay Visitskiy,Николай Висицкий,1972,65,,,,,M,SBD,Open,Single-ply,67.5
DQ,Sirazhutdin Bazaev,Сиражутдин Базаев,1968,66.65,205,130,,,M,SBD,Open,Single-ply,67.5
1,Vladimir Makhnyuk,Владимир Махнюк,1958,75,230,160,250,640,M,SBD,Open,Single-ply,75
2,Yuriy Yurtaev,Юрий Юртаев,1961,74,205,150,255.5,610,M,SBD,Open,Single-ply,75
3,Nikolay Golubyatnikov,Николай Голубятников,1972,74.5,205,117.5,225,547.5,M,SBD,Open,Single-ply,75
4,Aleksey Lukyanenko,Алексей Лукьяненко,1960,74.6,200,135,205,540,M,SBD,Open,Single-ply,75
5,Vasiliy Pochkay,Василий Почкай,1955,74.8,192.5,132.5,205,530,M,SBD,Open,Single-ply,75
6,Viktor Litvinov,Виктор Литвинов,1971,74.2,160,127.5,210,497.5,M,SBD,Open,Single-ply,75
7,Sergey Doktorovich,Сергей Докторович,1972,72.6,175,130,195,495,M,SBD,Open,Single-ply,75
8,Vitaliy Shikhatov,Виталий Шихатов,1972,74.1,135,117.5,175,417.5,M,SBD,Open,Single-ply,75
DQ,Sergey Pavlenko,Сергей Павленко,1970,74.5,,,,,M,SBD,Open,Single-ply,75
DQ,Andrey Yatsenko,Андрей Яценко,1956,75,210,,,,M,SBD,Open,Single-ply,75
DQ,Sergey Romanenko,Сергей Романенко,1972,68.2,170,,,,M,SBD,Open,Single-ply,75
