Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Natalya Podvishina,Наталья Подвишина,1981,35,50,27.5,80,157.5,F,SBD,Single-ply,Sub-Juniors,36
2,Sveta Gritsay,Света Грицай,1981,35,47.5,22.5,80,150,F,SBD,Single-ply,Sub-Juniors,36
1,Yana Petrenko,Яна Петренко,1981,38.5,77.5,42.5,95,215,F,SBD,Single-ply,Sub-Juniors,40
2,Natasha Chernovtsan,Наташа Черновцан,1981,39.5,70,35,100,205,F,SBD,Single-ply,Sub-Juniors,40
1,Anya Miroshnichenko,Аня Мирошниченко,1980,43,92.5,40,110.5,242.5,F,SBD,Single-ply,Sub-Juniors,44
2,Natasha Shtyreva,Наташа Штырева,1977,44,70,42.5,90,202.5,F,SBD,Single-ply,Sub-Juniors,44
3,Lena Bukareva,Лена Букарева,1980,43.9,70,30,95,195,F,SBD,Single-ply,Sub-Juniors,44
1,Lesya Guminskaya,Леся Гуминская,1980,48,77.5,45,100,222.5,F,SBD,Single-ply,Sub-Juniors,48
2,Vika Kornilova,Вика Корнилова,1979,47.5,52.5,42.5,70,165,F,SBD,Single-ply,Sub-Juniors,48
1,Veronika Shcherban,Вероника Щербань,1980,52,130.5,67.5,130.5,327.5,F,SBD,Single-ply,Sub-Juniors,52
2,Lyuda Osmanova,Люда Османова,1976,52,107.5,85,120,312.5,F,SBD,Single-ply,Sub-Juniors,52
3,Vika Vashchenyuk,Вика Ващенюк,1977,51.2,95,52.5,120,267.5,F,SBD,Single-ply,Sub-Juniors,52
DQ,Lyuda Titova,Люда Титова,1978,50.9,100,50,,,F,SBD,Single-ply,Sub-Juniors,52
DQ,Lyuda Gagarina,Люда Гагарина,1978,52,,,,,F,SBD,Single-ply,Sub-Juniors,52
NS,Natasha Ship,Наташа Шип,1976,,,,,,F,SBD,Single-ply,Sub-Juniors,52
1,Mayya Purchel,Майя Пурчел,1979,56,90,45,120,255,F,SBD,Single-ply,Sub-Juniors,56
2,Lyuda Bannikova,Люда Банникова,1977,56,90,40,120,250,F,SBD,Single-ply,Sub-Juniors,56
3,Tanya Ryltseva,Таня Рыльцева,1980,52.3,70,35,85,190,F,SBD,Single-ply,Sub-Juniors,56
4,Natasha Kovtun,Наташа Ковтун,1979,55.3,62.5,30,77.5,170,F,SBD,Single-ply,Sub-Juniors,56
1,Lyusena Andresyuk,Люсьена Андресюк,1977,58.6,117.5,52.5,140,310,F,SBD,Single-ply,Sub-Juniors,60
2,Lena Volobueva,Лена Волобуева,1978,60,102.5,40,130,272.5,F,SBD,Single-ply,Sub-Juniors,60
3,Lena Pilipenko,Лена Пилипенко,1977,60,95,52.5,110,255,F,SBD,Single-ply,Sub-Juniors,60
4,Sveta Kashul,Света Кашул,1978,60,90,45,110,245,F,SBD,Single-ply,Sub-Juniors,60
DQ,Anya Sysoenko,Аня Сысоенко,1976,59.4,,,,,F,SBD,Single-ply,Sub-Juniors,60
1,Sveta Zvarich,Света Зварич,1980,66.8,100,50,110,260,F,SBD,Single-ply,Sub-Juniors,67.5
2,Lena Verbitskaya,Лена Вербицкая,1976,61.7,90,45,100,235,F,SBD,Single-ply,Sub-Juniors,67.5
3,Yulya Matyash,Юля Матяш,1980,62,72.5,40,80,192.5,F,SBD,Single-ply,Sub-Juniors,67.5
1,Igor Skakun,Игорь Скакун,1979,43.9,80,52.5,107.5,240,M,SBD,Single-ply,Sub-Juniors,44
2,Aleksandr Demenskiy,Александр Деменский,1981,42.2,80,45,107.5,227.5,M,SBD,Single-ply,Sub-Juniors,44
3,Azik Akhmedov,Азик Ахмедов,1979,42.8,82.5,45,100,227.5,M,SBD,Single-ply,Sub-Juniors,44
4,Roman Martinov,Роман Мартинов,1982,41.7,75,40,100,215,M,SBD,Single-ply,Sub-Juniors,44
5,Igor Varenik,Игорь Вареник,1982,35.7,70,40,100,210,M,SBD,Single-ply,Sub-Juniors,44
6,Vladimir Chumak,Владимир Чумак,1982,33.6,60,35,75,170,M,SBD,Single-ply,Sub-Juniors,44
