Place,Sex,Name,Event,Division,WeightClassKg,Equipment,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,BirthYear
1,F,Krista McGowan,B,M2b,63,Single-ply,57.7,,72.6,,72.6,1954
1,M,Jake Dusenbury,SBD,R-T2,83,Raw,81,142.9,102.1,142.9,387.9,1996
1,M,Damond Flowers,SBD,R-T3,74,Raw,67.5,174.6,97.5,204.1,476.2,1996
1,M,Benny Le,SBD,R-JR,74,Raw,72.5,179.2,131.5,208.7,519.4,1992
1,M,Zach Tarhini,SBD,R-O,83,Raw,79.8,142.9,124.7,163.3,430.9,1988
1,M,Patrick Adams,SBD,R-O,93,Raw,88.6,102.1,113.4,152,367.5,1984
1,M,Travis Morris,SBD,R-O,105,Raw,96,158.8,124.7,226.8,510.3,1984
1,M,David Tudor,SBD,R-O,120+,Raw,131.3,249.5,142.9,288,680.4,1980
1,M,Clint Shockley,SBD,M1a,120+,Single-ply,152,226.8,154.2,249.5,630.5,1974
1,M,Steve Stout,SBD,M2a,93,Single-ply,89.9,208.7,172.4,244.9,626,1963
